LEVEL_3_CO,TOTAL,RELATIVE,RICHNESS,RANGE_MEAN,RANGE_MEDIAN,RANGE_AREA,ENDEMISM_T,ENDEMISM_R,BIEN_OCCUR,ENDEMIC_SEQ,GEN_DUP
IVO,2206,0.611588577765456,3607,20.230662600499,14,10761388.3500554,45,0.0124757416135292,0.460493484890491,0.0888888888888889,0.0343147872192958
LBR,1605,0.630153121319199,2547,18.6902237926973,12,9184096.25177856,71,0.027875932469572,0.250490773458971,0.169014084507042,0.0354338437377307
MLI,1160,0.637362637362637,1820,29.4593406593407,22,17676038.165533,14,0.00769230769230769,0.53021978021978,0.0714285714285714,0.0404876373626374
MTN,761,0.761,1000,35.388,26,21648368.00612,3,0.003,0.116,0,0.056125
NGR,780,0.736543909348442,1059,35.6600566572238,27,22032047.4803683,3,0.0028328611898017,0.251180358829084,0,0.05219399197356
NGA,2744,0.598995852433966,4581,19.5946299934512,14,11314847.128341,72,0.0157170923379175,0.266099104998909,0.0694444444444444,0.0343862557301899
SEN,1333,0.646146388754241,2063,30.1633543383422,23,16934949.2056423,20,0.00969461948618517,0.442074648570044,0.05,0.0424594037809016
TOG,1305,0.66412213740458,1965,28.1862595419847,21,15243058.6725445,17,0.00865139949109415,0.59236641221374,0.0588235294117647,0.0413088422391858
BUR,1613,0.615648854961832,2620,22.131679389313,15,13215897.6911832,37,0.0141221374045802,0.362595419847328,0.135135135135135,0.0363489980916031
CMN,3432,0.507842556969518,6758,14.0344776561113,8,8186369.13192957,773,0.114382953536549,0.571470849363717,0.148771021992238,0.0275368082272862
CAF,2087,0.584593837535014,3570,20.0736694677871,14,11858538.6697535,90,0.0252100840336134,0.373389355742297,0.0333333333333333,0.0335127801120448
CON,2241,0.568348972863302,3943,16.5242201369516,9,9366061.41539944,45,0.0114126299771747,0.249048947501902,0.0444444444444444,0.0315967378899315
GAB,2480,0.513989637305699,4825,13.179481865285,6,7205480.16844145,478,0.0990673575129534,0.481658031088083,0.163179916317992,0.027297603626943
GGI,1107,0.656583629893238,1686,22.0255041518387,14,11159183.9956524,157,0.0931198102016607,0.35349940688019,0.235668789808917,0.0404062870699881
DJI,585,0.76171875,768,28.03125,20,17339931.3872526,11,0.0143229166666667,0.01953125,0.0909090909090909,0.0542805989583333
SOC,488,0.645502645502645,756,24.3796296296296,9,13711212.2453042,294,0.388888888888889,0.42989417989418,0.36734693877551,0.0420800264550265
UGA,2825,0.633408071748879,4460,19.9497757847534,14,12276504.9110919,61,0.013677130044843,0.341704035874439,0.114754098360656,0.0369622337443946
ANG,2788,0.46559786239145,5988,14.6163994655979,8,9302981.7168821,1151,0.192217768871075,0.503340013360053,0.0495221546481321,0.0273463593854375
EQG,798,0.614791987673344,1298,17.1171032357473,9.5,8496182.54905239,32,0.024653312788906,0.443759630200308,0.0625,0.0350178158705701
NAM,2093,0.559326563335115,3742,12.8134687332977,4,7716601.46230893,664,0.177445216461785,0.668091929449492,0.287650602409639,0.0333607529396045
RUE,1859,0.751111111111111,2475,33.4844444444444,26,18897982.0805374,94,0.037979797979798,0.144646464646465,0.0425531914893617,0.069520202020202
UZB,2064,0.563780387872166,3661,16.5203496312483,6,9879911.13239006,307,0.0838568697077301,0.0658290084676318,0.123778501628664,0.0399929151871073
BAH,793,0.763969171483622,1038,26.5934489402697,17,8825487.66644509,59,0.0568400770712909,0.460500963391137,0.152542372881356,0.0618075626204239
CAY,442,0.826168224299065,535,35.2392523364486,27,12373158.8965234,21,0.0392523364485981,0.214953271028037,0.142857142857143,0.0718311915887851
LEE,1273,0.719615602035048,1769,25.0429621254946,19,9883687.76780102,62,0.035048049745619,0.420011305822499,0.145161290322581,0.0532477741661956
NLA,373,0.783613445378151,476,34.8487394957983,26,13209515.9380252,9,0.0189075630252101,0.216386554621849,0.111111111111111,0.0691964285714286
TRT,1636,0.706695464362851,2315,22.8077753779698,17,11231403.194933,74,0.0319654427645788,0.293304535637149,0.175675675675676,0.0503374730021598
TCI,317,0.796482412060301,398,31.1633165829146,20,10089439.259799,7,0.0175879396984925,0.150753768844221,0,0.0704302763819095
WIN,1227,0.705172413793103,1740,24.7034482758621,19,10222221.3494943,109,0.0626436781609195,0.49367816091954,0.155963302752294,0.051715158045977
TZK,2405,0.557099837850359,4317,15.498957609451,5,9246476.48921937,582,0.134815844336345,0.152883947185546,0.130584192439863,0.0384689164929349
NWC,1199,0.398868928809049,3006,5.47804391217565,1,1829917.74284764,2424,0.806387225548902,0.652029274783766,0.328382838283828,0.0219300981370592
TKM,1815,0.682844243792325,2658,19.5037622272385,8,11148381.2154703,178,0.0669676448457487,0.122648607975922,0.123595505617978,0.0490647338224229
CHI,1707,0.786273606632888,2171,23.1593735605712,11,15860019.4153708,72,0.0331644403500691,0.307231690465223,0.125,0.0707335329341317
CNY,1251,0.796308084022915,1571,21.5480585614258,5,9494266.52298536,667,0.424570337364736,0.710375556970083,0.650674662668666,0.0580342934436665
AFG,2713,0.606663685152057,4472,16.0337656529517,6,9529651.5170975,868,0.194096601073345,0.453488372093023,0.202764976958525,0.0416882127683363
AZO,455,0.951882845188284,478,43.2761506276151,35.5,18121975.7340795,58,0.121338912133891,0.412133891213389,0.931034482758621,0.0957439853556485
IRK,1291,0.786715417428397,1641,32.7921998781231,19,21847484.2007495,27,0.0164533820840951,0.199878123095673,0.111111111111111,0.0739354814137721
CYP,1328,0.823310601363918,1613,28.2777433353999,22,12292214.7814135,117,0.0725356478611283,0.367637941723497,0.41025641025641,0.0664861670799752
